 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
3326,293.356,325.035,317.093,323.759,322.492,309.604,322.880,320.114,323.430,319.624,322.753,321.131
3327,293.310,324.669,317.303,323.170,321.831,309.497,323.005,319.701,322.897,319.397,322.268,320.581
3328,292.918,324.751,317.642,322.180,321.551,309.345,323.393,319.629,322.550,319.594,321.975,320.835
3329,292.459,325.079,317.764,321.480,321.825,309.123,323.561,320.041,322.587,319.864,321.937,321.524
3330,292.289,325.599,317.569,321.333,322.523,308.814,323.366,320.401,322.880,319.950,321.948,321.861
3331,292.660,326.130,317.269,321.813,323.268,308.203,323.010,320.413,323.117,319.894,321.813,321.498
3332,293.675,326.363,317.298,322.306,323.606,307.339,322.527,320.108,323.206,319.930,321.454,321.079
3333,294.690,326.466,317.583,322.415,323.370,306.514,321.890,319.660,323.041,320.107,321.044,320.985
3334,294.854,326.678,317.676,322.262,322.454,306.189,321.290,319.149,322.842,320.217,320.807,321.131
3335,294.234,327.011,317.484,321.952,321.258,306.139,321.000,318.796,322.705,320.128,321.071,321.236
3336,293.857,327.043,317.340,321.367,320.498,306.307,320.937,318.832,322.531,319.964,321.884,320.944
3337,293.912,326.556,317.519,320.687,320.664,306.535,320.927,319.298,322.426,319.924,322.623,320.408
3338,293.872,326.033,317.647,320.480,321.026,306.722,320.612,319.945,322.588,320.047,322.750,320.052
3339,293.416,326.043,317.411,320.932,321.031,306.436,320.061,320.264,322.962,320.250,322.534,320.296
3340,292.812,326.423,317.005,321.116,320.675,305.759,319.595,320.054,323.164,320.248,322.458,321.056
3341,292.650,326.970,316.647,320.357,320.348,305.299,319.498,319.771,323.103,319.767,322.576,321.850
3342,292.954,327.491,316.165,319.078,320.299,305.253,319.998,319.678,323.189,319.050,322.609,322.079
3343,293.304,327.843,315.662,318.446,320.601,305.191,320.668,319.725,323.697,318.550,322.505,321.719
3344,293.654,327.970,315.252,318.776,320.830,304.887,321.010,319.633,324.198,318.547,322.455,321.240
3345,294.116,327.916,315.170,319.259,320.729,304.545,320.761,319.363,324.263,318.865,322.557,321.052
3346,294.264,327.539,315.355,319.177,320.296,304.113,320.251,319.069,323.760,319.016,322.629,321.311
3347,293.614,326.794,315.642,318.701,319.725,303.493,319.876,318.850,323.146,318.757,322.560,321.633
3348,292.410,326.144,316.002,318.497,319.144,302.917,319.644,318.635,322.946,318.389,322.322,321.539
3349,291.298,325.729,316.254,318.646,318.572,302.969,319.537,318.419,323.230,318.378,321.858,321.045
3350,290.660,325.482,315.932,318.929,318.158,303.627,319.639,318.234,323.604,318.757,321.348,320.551
3351,290.584,325.469,315.113,319.466,317.914,304.401,319.927,318.133,323.504,319.065,321.094,320.596
3352,290.875,325.707,314.419,319.980,317.813,304.733,320.061,318.124,322.983,319.058,321.032,321.187
3353,291.264,325.989,314.289,320.150,317.905,304.675,319.800,318.265,322.533,318.880,321.047,321.655
3354,291.638,326.003,314.916,320.143,318.241,304.641,319.473,318.463,322.247,318.818,321.163,321.491
3355,292.122,325.989,315.995,319.976,318.698,304.599,319.059,318.555,321.876,318.868,321.420,320.854
3356,292.733,326.379,316.748,319.626,318.943,304.351,318.398,318.453,321.432,318.796,321.584,320.521
3357,293.322,327.141,316.494,319.276,318.998,303.931,317.798,318.166,321.363,318.607,321.434,321.052
3358,293.535,327.466,315.499,319.337,318.968,303.635,317.634,317.813,321.530,318.638,321.185,322.131
3359,293.374,326.959,314.598,319.762,318.949,303.823,317.980,317.356,321.519,318.868,321.191,323.176
3360,293.049,325.962,314.044,320.340,318.742,304.432,318.234,316.907,321.467,318.943,321.498,323.618
3361,293.076,325.095,313.642,320.776,318.216,305.014,317.910,316.748,321.759,318.539,321.768,323.401
3362,293.812,324.493,313.276,320.823,317.759,305.151,317.280,317.087,322.527,318.021,321.888,323.000
3363,294.748,323.973,313.088,320.395,317.365,304.925,316.900,317.789,323.353,317.790,321.996,322.858
3364,294.942,323.523,313.360,320.048,316.983,304.616,316.993,318.506,323.920,317.745,322.224,323.101
3365,294.255,323.539,313.929,319.793,316.718,304.396,317.224,319.230,324.097,317.549,322.495,323.491
3366,293.480,324.209,314.322,319.293,316.781,304.212,317.212,319.980,324.034,317.232,322.566,323.955
3367,293.125,324.970,314.384,318.650,317.112,304.208,316.766,320.549,323.810,317.109,322.231,324.367
3368,293.067,325.382,314.218,318.235,317.465,304.615,315.898,320.686,323.496,317.226,321.842,324.491
3369,293.365,325.509,313.815,318.303,317.706,305.286,315.198,320.341,323.214,317.389,321.770,323.873
3370,293.888,325.485,313.366,318.582,317.613,305.759,314.932,319.605,323.069,317.543,321.939,322.749
3371,294.337,325.388,313.090,318.956,317.359,305.538,315.241,318.927,322.983,317.816,322.071,321.820
3372,294.356,325.333,313.287,319.395,317.107,304.818,315.854,318.627,322.610,318.211,321.947,321.442
3373,294.252,325.417,313.819,319.731,316.928,304.337,316.476,318.743,322.000,318.762,321.751,321.749
3374,294.392,325.688,314.313,319.837,316.561,304.578,316.698,318.885,321.459,319.219,321.818,322.161
3375,294.599,325.938,314.514,319.707,316.057,305.309,316.466,318.863,321.286,319.305,322.240,322.228
3376,294.498,325.751,314.349,319.405,315.724,305.856,316.220,318.894,321.396,318.885,322.595,322.086
3377,294.444,325.149,313.932,319.204,315.656,306.003,316.263,319.204,321.581,318.190,322.536,322.330
3378,294.678,324.442,313.289,319.156,315.663,305.950,316.380,319.687,321.731,317.712,322.068,322.820
3379,295.033,324.192,312.814,319.153,315.779,305.950,316.273,320.127,321.994,317.653,321.645,323.101
3380,295.024,324.257,312.731,318.878,316.117,305.925,316.046,320.590,322.232,317.921,321.531,322.936
3381,294.729,324.182,312.969,318.395,316.532,305.635,316.234,321.118,322.281,318.266,321.843,322.543
3382,294.462,324.114,313.024,317.595,316.646,305.130,316.876,321.593,321.978,318.609,322.305,322.082
3383,294.416,324.144,312.691,316.833,316.314,304.630,317.163,321.564,321.558,318.975,322.666,321.921
3384,294.644,324.016,312.194,316.582,315.742,304.062,316.739,320.999,321.370,319.354,322.897,321.839
3385,294.964,323.542,311.945,316.656,315.255,303.493,315.868,320.120,321.634,319.528,322.944,321.326
3386,295.167,323.022,311.963,316.588,315.130,302.991,315.193,319.486,322.074,319.336,322.719,320.479
3387,295.082,322.927,312.027,316.755,315.170,302.694,314.902,319.319,322.255,318.981,322.095,320.022
3388,295.018,322.984,311.916,317.378,315.140,302.819,315.200,319.387,322.157,318.726,321.275,320.131
3389,295.231,322.713,311.600,318.391,314.949,303.411,315.854,319.234,321.833,318.374,320.797,320.539
3390,295.571,321.612,311.256,319.095,314.543,303.833,316.398,318.911,321.356,317.918,320.855,320.955
3391,295.562,320.236,311.196,319.238,314.018,303.604,316.661,318.861,320.636,317.658,321.145,321.573
3392,294.894,319.474,311.448,319.048,313.649,302.981,316.554,319.307,320.084,317.803,321.336,322.524
3393,294.137,319.656,311.815,318.854,313.702,302.562,316.432,319.823,320.163,318.049,321.350,323.610
3394,293.663,320.057,311.987,318.639,314.063,302.575,316.307,320.068,320.688,318.043,321.379,324.371
3395,293.502,320.000,311.956,318.323,314.247,302.634,316.207,320.049,320.974,317.692,321.410,324.809
3396,293.240,319.404,311.861,318.058,314.084,302.693,316.137,319.853,320.888,317.203,321.408,324.891
3397,292.714,318.762,311.782,317.908,313.739,302.981,315.973,319.556,320.816,316.868,321.445,324.487
3398,292.365,318.168,311.574,318.214,313.535,303.271,315.434,319.378,321.235,316.702,321.612,323.685
3399,292.608,317.786,311.260,318.946,313.621,303.332,314.763,319.325,321.783,316.838,321.773,322.933
3400,292.906,317.862,310.888,319.456,314.109,303.212,314.368,319.350,322.106,317.268,321.629,322.768
3401,292.863,318.398,310.629,319.207,314.914,303.241,314.237,319.520,322.384,317.495,321.120,323.086
3402,292.839,319.195,310.433,318.544,315.578,303.418,314.259,319.950,322.624,317.259,320.691,323.464
3403,293.368,319.976,310.388,318.109,315.630,303.589,314.400,320.302,322.467,316.763,320.476,323.918
3404,294.258,320.547,310.722,318.078,315.077,303.562,314.780,320.004,321.871,316.453,320.326,324.573
3405,295.103,321.033,311.208,317.871,314.324,303.295,315.039,319.246,321.253,316.489,320.087,324.963
3406,295.565,321.566,311.444,317.537,313.831,303.000,314.937,318.637,321.174,316.790,319.918,324.959
3407,295.416,321.995,311.329,317.432,313.911,303.003,314.710,318.643,321.515,317.040,320.043,325.037
3408,294.805,322.100,311.148,317.537,314.523,303.165,315.080,318.939,321.693,317.135,320.292,325.502
