 ,Mean1,Mean4,Mean6,Mean7
543,647.059,870.251,711.034,795.299
544,649.038,876.515,712.876,795.970
545,649.562,878.022,712.976,796.235
546,648.585,875.963,711.843,795.955
547,647.204,874.932,711.404,795.352
548,646.521,877.017,712.343,794.847
549,646.246,879.463,713.303,794.576
550,645.462,878.265,712.530,794.391
551,644.102,873.414,710.162,794.127
552,643.280,869.131,708.255,793.861
553,643.578,868.940,708.416,793.695
554,644.595,871.341,709.995,793.595
555,645.372,871.833,710.872,793.361
556,645.434,868.456,709.833,792.870
557,645.130,864.120,707.980,792.233
558,645.083,862.863,707.000,791.725
559,645.360,865.169,707.540,791.666
560,645.557,867.618,708.563,791.954
561,645.472,866.683,708.632,792.166
562,645.090,862.766,707.768,792.052
563,644.709,859.584,707.342,791.844
564,644.403,859.717,708.216,791.896
565,643.998,861.606,709.696,792.172
566,643.071,861.812,710.247,792.387
567,641.727,858.970,709.232,792.265
568,640.531,855.843,707.502,791.852
569,639.969,855.841,706.473,791.294
570,640.244,858.780,706.645,790.767
571,640.694,861.159,707.383,790.338
572,640.159,860.379,707.731,789.961
573,638.851,857.880,707.557,789.552
574,638.268,856.979,707.660,789.423
575,639.256,858.872,708.593,789.809
576,641.024,861.373,709.710,790.388
577,642.133,861.414,709.780,790.545
578,642.007,858.803,708.615,790.258
579,641.519,857.018,707.224,790.122
580,641.730,859.808,706.994,790.516
581,642.536,866.766,708.271,791.204
582,642.993,873.187,709.903,791.622
583,642.780,874.753,710.531,791.456
584,642.649,872.151,710.193,790.963
585,643.315,870.066,710.106,790.560
586,644.277,871.115,710.835,790.377
587,644.389,873.057,711.621,790.181
588,643.164,872.271,711.384,789.691
589,641.171,868.591,710.116,788.881
590,639.678,865.849,709.020,788.233
591,639.531,866.857,709.025,787.935
592,640.341,869.957,709.969,787.801
593,640.874,870.700,710.599,787.472
594,640.448,866.949,709.839,786.958
595,639.346,861.370,708.068,786.685
596,638.280,858.505,707.097,786.845
597,637.491,859.524,707.760,787.259
598,637.062,861.335,708.827,787.597
599,637.055,860.632,708.506,787.555
600,637.578,857.553,706.795,787.089
601,638.777,855.463,705.306,786.706
602,640.346,856.768,705.205,786.919
603,641.735,859.980,706.067,787.513
604,642.512,861.404,706.604,787.834
605,642.550,859.439,706.200,787.644
606,642.057,856.622,705.417,787.311
607,641.315,856.519,705.214,787.252
608,640.841,859.135,705.803,787.486
609,640.784,861.091,706.507,787.695
610,640.889,859.595,706.570,787.728
611,640.746,855.981,705.763,787.698
612,640.277,854.009,704.769,787.854
613,639.815,855.369,704.441,788.258
614,639.545,858.236,704.917,788.837
615,639.678,860.070,705.439,789.414
616,640.220,860.684,705.794,789.787
617,641.187,862.260,706.684,789.992
618,642.652,866.538,708.490,790.094
619,644.055,871.884,710.465,789.972
620,644.287,874.497,711.129,789.505
621,643.085,872.170,710.001,788.704
622,641.391,867.179,708.376,787.841
623,640.275,864.100,708.032,787.364
624,640.379,864.939,709.206,787.354
625,641.211,866.996,710.395,787.511
626,642.031,866.265,710.161,787.415
627,642.332,862.242,708.412,786.966
628,641.995,858.466,706.751,786.180
