 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
119,272.525,290.592,259.425,265.094,279.532,265.128,252.286,255.234,258.973,251.817,252.580,256.906,364.341,251.624,249.941,255.006,246.991,251.760,259.168,256.513,256.072,255.582
120,272.078,290.217,258.404,265.415,280.061,264.686,252.859,255.059,258.348,251.898,253.245,256.825,364.201,252.137,249.909,255.397,247.315,252.004,259.668,256.166,256.022,255.610
121,272.599,289.769,258.059,265.150,280.930,264.724,253.223,254.715,258.099,252.011,254.245,256.691,364.432,252.751,249.456,256.190,247.706,252.074,259.979,255.827,255.893,255.775
122,273.502,289.429,258.892,264.590,282.155,265.527,253.541,254.262,258.420,252.172,255.384,256.753,365.790,253.165,248.897,256.619,247.769,252.355,259.889,255.516,255.696,256.002
123,274.479,289.173,260.272,264.060,283.446,266.858,253.901,254.125,258.874,252.511,256.392,257.534,368.116,253.293,248.610,256.410,247.376,253.232,259.682,255.337,255.247,256.131
124,275.092,288.983,261.474,263.410,284.497,268.257,254.346,254.238,258.611,252.806,257.327,258.780,370.529,253.301,248.643,255.903,246.750,254.593,259.732,255.448,254.934,255.833
125,274.871,288.964,262.404,262.722,285.327,269.503,255.184,254.477,257.761,252.844,258.159,259.552,372.371,253.090,248.810,255.332,246.229,255.846,260.125,255.807,254.787,255.149
126,273.737,289.045,263.174,262.568,286.054,270.473,256.235,254.609,257.154,252.651,259.049,259.489,373.875,252.653,248.696,254.772,245.986,256.524,260.504,256.055,255.008,254.422
127,272.355,289.262,263.589,263.115,286.756,270.932,257.205,253.949,257.123,252.194,259.588,258.982,375.209,252.195,248.171,254.319,246.222,256.483,260.321,255.942,255.334,254.098
128,271.097,289.507,263.443,263.769,287.618,270.918,258.016,252.773,257.604,251.919,259.567,258.408,376.152,251.950,247.730,254.332,246.829,256.065,259.550,255.610,255.592,254.494
129,270.396,289.432,262.801,263.662,288.605,270.888,258.952,251.938,258.177,251.817,259.163,258.004,376.529,252.127,247.802,254.746,247.657,255.747,258.718,255.101,255.547,255.299
130,270.189,288.960,262.279,262.833,289.368,271.131,259.935,252.254,258.577,251.532,258.743,258.076,376.827,252.643,248.034,255.061,248.376,255.483,258.232,254.696,255.225,255.964
131,270.488,288.364,262.335,261.919,289.732,271.475,260.535,253.320,258.242,250.979,258.620,258.771,377.626,253.321,248.055,254.810,248.991,255.387,258.157,254.434,254.654,255.940
132,270.719,287.890,262.753,261.521,289.930,271.689,260.820,254.223,257.242,250.882,259.086,259.785,379.054,253.865,247.884,254.180,249.526,255.695,258.429,254.239,254.103,255.357
133,270.829,287.452,263.181,261.564,290.381,271.833,260.924,254.574,256.399,251.484,259.992,260.377,380.500,254.135,247.671,253.600,249.636,256.281,259.271,253.901,253.712,254.882
134,270.558,286.865,263.533,261.624,290.937,272.290,260.712,254.395,256.338,252.694,261.127,260.336,381.460,254.283,247.540,253.512,249.388,256.684,260.411,253.569,253.586,254.570
135,269.783,286.183,263.700,261.325,291.105,273.085,260.205,253.977,256.788,253.699,261.861,260.247,381.948,254.715,247.365,253.628,249.133,256.768,261.346,253.361,253.521,254.353
