 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
196,315.078,321.165,309.777,305.617,321.557,321.739,315.864,328.798,334.073,337.248,314.950,318.710,310.596
197,315.212,320.573,310.337,305.594,320.979,321.306,315.710,328.703,333.733,336.726,314.529,318.891,310.259
198,315.589,319.698,310.836,305.922,320.271,320.845,315.400,328.495,333.269,336.219,314.231,318.992,310.079
199,315.991,318.893,311.059,306.378,319.626,320.469,314.751,327.934,332.808,335.746,314.125,318.852,310.186
200,316.153,318.386,311.175,306.906,319.140,320.119,313.967,327.039,332.405,335.444,314.103,318.391,310.325
201,316.191,318.427,311.276,307.411,318.985,319.798,313.299,326.345,332.008,335.378,314.091,317.825,310.436
202,316.225,318.917,311.376,307.670,319.299,319.626,312.913,326.220,331.564,335.303,314.137,317.411,310.345
203,316.214,319.388,311.459,307.461,319.841,319.570,312.726,326.594,331.095,335.139,314.245,317.203,310.081
204,316.072,319.573,311.238,306.750,320.288,319.423,312.582,326.999,330.549,335.023,314.317,317.198,309.867
205,315.949,319.419,310.852,305.846,320.450,319.144,312.472,327.177,329.984,335.116,314.164,317.304,309.949
206,315.896,319.155,310.587,305.200,320.097,318.847,312.338,327.197,329.562,335.193,313.851,317.301,310.152
207,315.695,319.004,310.506,305.044,319.507,318.557,312.110,327.180,329.371,334.989,313.603,317.009,310.156
208,315.297,319.089,310.382,305.250,319.118,318.213,311.900,327.229,329.251,334.409,313.646,316.723,310.150
209,314.527,319.207,310.225,305.408,319.101,317.926,311.785,327.160,329.039,333.633,313.687,316.845,310.358
210,313.566,319.322,310.016,305.275,319.378,317.714,311.704,326.917,328.574,332.923,313.403,317.374,310.814
211,312.807,319.545,309.779,304.865,319.865,317.430,311.544,326.754,328.103,332.413,312.978,317.866,311.259
212,312.765,319.847,309.589,304.433,320.361,317.114,311.419,326.554,327.861,332.073,312.667,318.119,311.554
213,313.379,320.338,309.453,304.264,320.460,316.949,311.415,326.214,327.717,331.977,312.546,318.144,311.758
214,314.144,320.879,309.449,304.463,319.920,316.996,311.474,325.851,327.377,331.969,312.498,318.017,311.687
215,314.553,321.143,309.584,304.853,318.957,317.063,311.607,325.666,326.876,332.106,312.292,317.883,311.198
216,314.684,320.996,309.730,305.179,318.310,316.850,311.903,325.492,326.510,332.230,311.798,317.959,310.388
217,314.492,320.596,309.770,305.521,318.250,316.469,312.175,325.270,326.341,332.313,311.197,318.206,309.788
218,313.812,320.322,309.592,305.810,318.720,316.163,312.199,325.136,326.289,332.318,310.833,318.450,309.503
219,313.146,320.368,309.201,306.018,319.350,316.015,311.996,325.190,326.174,332.145,311.073,318.520,309.695
220,313.034,320.477,308.674,306.154,319.940,315.847,311.844,325.150,326.006,331.914,311.565,318.373,310.154
221,313.477,320.330,308.239,306.021,320.213,315.502,312.036,324.956,325.834,331.610,311.708,318.117,310.562
222,313.790,320.125,308.262,305.704,320.000,315.150,312.406,324.839,325.727,331.271,311.480,317.833,310.808
223,313.723,320.111,308.732,305.259,319.555,315.069,312.567,325.051,325.614,330.861,311.370,317.488,310.913
224,313.530,320.050,309.183,304.665,319.277,315.218,312.466,325.299,325.545,330.576,311.565,317.106,310.996
225,313.256,319.698,309.297,304.126,319.151,315.278,312.308,325.288,325.492,330.498,311.773,316.740,311.024
226,312.892,319.191,309.079,303.917,318.968,315.143,312.194,325.062,325.304,330.460,311.799,316.465,311.024
