 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
264,223.938,244.229,268.825,215.314,232.184,222.697,208.932,229.929,227.130
265,224.310,244.928,268.834,215.501,232.913,224.349,209.280,230.154,227.464
266,224.069,245.516,269.133,215.606,233.658,225.133,209.545,230.213,227.794
267,223.575,245.654,269.494,215.405,234.248,225.266,209.683,230.253,228.052
268,223.334,245.609,269.822,215.246,234.453,225.014,209.758,230.342,228.227
269,223.293,245.654,269.977,215.190,234.560,225.105,209.895,230.646,228.500
270,223.256,245.654,270.018,215.221,234.775,225.642,210.193,231.005,228.849
271,223.326,245.557,269.840,215.088,234.821,226.197,210.644,231.160,229.126
272,223.593,245.441,269.587,214.819,234.380,226.064,211.004,230.999,229.215
273,223.866,245.413,269.284,214.615,233.601,225.583,210.932,230.654,229.088
274,224.034,245.500,269.116,214.527,232.887,225.055,210.375,230.472,228.763
275,223.894,245.428,269.120,214.535,232.637,225.032,209.681,230.711,228.567
276,223.397,245.108,269.186,214.666,232.714,225.495,209.278,231.064,228.507
277,222.588,244.737,269.238,214.926,232.531,226.073,209.086,230.920,228.472
278,221.828,244.716,269.491,215.289,231.962,226.156,208.884,230.052,228.362
279,221.565,245.150,270.108,215.550,231.420,225.592,208.741,229.105,228.054
280,221.797,245.675,270.695,215.603,231.309,225.142,208.727,228.628,227.734
281,222.381,246.069,270.887,215.524,231.429,225.073,208.771,228.562,227.353
282,222.937,246.219,270.877,215.329,231.402,225.032,208.970,228.486,227.047
283,223.049,246.092,270.913,215.238,231.024,224.422,209.285,228.243,226.971
284,222.806,245.668,270.976,215.521,230.315,223.450,209.434,228.069,226.877
285,222.450,245.042,270.756,215.912,229.543,222.436,209.413,228.220,226.441
286,222.006,244.422,270.105,216.204,229.168,221.849,209.569,228.778,226.067
287,221.451,244.072,269.396,216.136,229.161,221.927,210.130,229.333,226.138
288,221.022,243.895,268.921,215.790,229.117,222.183,210.709,229.556,226.687
289,220.862,243.655,268.834,215.402,228.728,222.165,210.837,229.349,227.164
290,220.847,243.670,268.936,215.079,228.081,221.839,210.508,228.976,227.270
291,220.774,244.044,269.020,214.714,227.671,221.647,210.121,228.625,227.003
292,220.631,244.534,268.883,214.496,227.497,221.505,209.842,228.426,226.580
293,220.407,244.761,268.767,214.340,227.524,221.170,209.722,228.335,226.398
294,220.209,244.771,268.733,213.983,227.746,220.706,209.653,228.404,226.536
295,219.976,244.621,268.643,213.380,228.090,220.151,209.567,228.566,226.896
296,219.802,244.497,268.346,212.960,228.432,219.697,209.497,228.707,227.280
297,219.670,244.737,268.184,213.255,228.912,219.583,209.236,228.800,227.631
298,219.664,245.420,268.285,214.079,229.513,219.784,208.748,228.799,227.869
299,219.810,246.206,268.370,214.501,230.259,220.468,208.312,228.759,227.848
300,220.147,246.694,268.308,214.346,230.665,221.174,208.415,228.606,227.652
301,220.438,246.596,268.377,213.992,230.620,221.564,209.159,228.264,227.299
302,220.399,246.038,268.704,213.830,230.236,221.628,210.044,227.898,226.915
303,220.002,245.665,268.994,213.629,229.956,221.523,210.553,227.696,226.623
304,219.625,245.686,268.994,213.739,229.990,221.794,210.553,227.573,226.545
305,219.711,245.944,268.840,214.246,230.236,222.096,210.095,227.501,226.651
306,220.132,246.060,268.730,214.748,230.268,222.147,209.623,227.641,226.990
307,220.640,246.056,268.553,214.768,230.256,222.046,209.373,228.121,227.370
308,220.929,245.843,268.270,214.382,230.470,222.335,209.489,228.733,227.524
309,220.873,245.560,267.777,214.139,231.000,223.050,209.639,229.187,227.389
310,220.390,245.275,267.284,214.139,231.809,223.514,209.527,229.341,227.247
311,219.927,245.201,266.919,214.153,232.677,223.702,209.221,229.370,227.348
312,219.720,245.263,266.726,214.096,233.087,223.890,208.933,229.479,227.528
313,219.674,245.587,266.436,214.127,233.071,224.436,208.769,229.709,227.526
314,219.683,246.209,266.078,214.238,233.037,225.014,208.755,229.796,227.363
315,219.728,246.897,265.875,214.062,233.477,225.050,208.785,229.684,227.484
316,220.000,247.423,265.870,213.606,234.087,224.844,208.664,229.540,228.095
317,220.489,247.913,265.805,212.975,234.326,224.638,208.375,229.562,228.689
318,221.045,248.163,265.684,212.575,233.840,224.326,207.979,229.656,228.865
319,221.392,248.075,265.809,212.626,233.003,223.922,207.730,229.676,228.884
320,221.418,247.882,266.088,212.873,232.530,223.638,207.658,229.613,229.045
321,221.332,247.940,266.181,213.113,232.678,223.413,207.762,229.570,229.035
322,221.375,248.158,266.232,213.462,233.098,223.532,208.091,229.666,228.659
323,221.571,248.219,266.500,213.680,233.148,224.087,208.399,229.854,228.213
324,221.774,247.977,267.064,213.867,232.772,224.372,208.405,229.851,228.099
325,221.618,247.724,267.716,213.926,232.189,223.982,208.217,229.329,228.016
326,221.224,247.498,268.136,214.210,231.828,223.399,208.018,228.473,227.798
327,220.993,247.320,268.128,214.470,231.795,223.110,207.972,227.744,227.531
328,221.334,247.033,267.838,214.501,231.630,222.927,208.214,227.427,227.439
329,221.869,246.493,267.537,214.371,230.930,222.509,208.499,227.407,227.614
330,221.994,245.758,267.460,214.224,229.913,221.706,208.557,227.546,227.853
331,221.660,245.005,267.634,214.419,229.160,220.830,208.243,227.755,227.818
332,221.388,244.466,267.980,214.788,228.940,220.317,207.779,227.910,227.536
333,221.715,244.145,268.284,214.890,229.053,220.124,207.445,227.828,227.166
334,222.396,244.010,268.341,214.516,229.067,219.794,207.408,227.549,226.782
335,222.858,243.799,267.928,213.997,228.869,219.312,207.629,227.131,226.403
336,222.946,243.552,267.312,213.742,228.420,219.000,208.117,226.637,226.305
337,222.864,243.359,266.945,213.677,228.019,218.826,208.548,226.314,226.488
338,222.869,243.248,267.006,213.861,227.798,218.569,208.602,226.239,226.805
339,223.021,243.310,267.247,214.300,227.865,218.307,208.349,226.327,227.144
340,223.134,243.600,267.405,214.759,227.977,218.569,208.012,226.375,227.310
341,223.080,244.168,267.590,214.816,227.816,219.151,207.757,226.344,227.654
342,222.838,244.802,267.706,214.357,227.476,219.486,207.623,226.348,228.130
343,222.459,245.361,267.614,213.853,227.417,219.798,207.485,226.400,228.401
344,222.134,245.704,267.386,213.847,227.698,220.523,207.427,226.567,228.242
345,222.263,245.814,267.233,214.280,227.902,221.252,207.433,226.973,227.720
346,222.701,245.667,267.201,214.788,227.670,221.716,207.457,227.394,227.244
347,223.231,245.423,266.960,214.921,227.262,221.991,207.342,227.434,226.967
348,223.715,245.116,266.389,214.756,227.155,222.220,207.156,227.124,226.862
349,224.138,244.750,265.716,214.416,227.460,222.472,207.138,226.787,226.945
350,224.459,244.600,265.238,214.207,228.043,222.895,207.336,226.747,227.080
351,224.601,244.487,264.893,213.858,228.711,223.353,207.471,226.838,227.216
352,224.756,244.211,264.570,213.357,229.272,223.573,207.240,226.825,227.149
353,225.101,243.871,264.291,212.977,229.738,223.298,206.806,226.888,226.865
354,225.535,243.944,264.311,213.042,230.235,222.780,206.667,227.241,226.438
355,225.793,244.487,264.668,213.450,230.886,222.587,207.002,227.760,226.002
356,225.687,245.273,265.008,213.901,231.577,222.922,207.613,228.325,225.645
357,225.435,245.998,265.014,214.380,232.184,223.729,208.182,228.748,225.649
358,225.382,246.806,264.881,215.099,232.624,224.605,208.483,229.002,226.189
359,225.479,247.665,264.726,215.708,232.839,225.078,208.377,229.005,226.979
360,225.547,248.542,264.535,215.612,232.862,225.459,208.074,228.883,227.514
