 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
154,382.054,375.524,411.704,380.773,373.763,390.292,380.321,367.203,373.383,369.238,366.582,381.338,369.965,376.216,366.452
155,380.596,374.906,410.943,380.631,373.790,389.496,379.786,367.443,372.960,369.573,366.335,381.419,368.995,376.173,366.687
156,379.578,374.387,410.309,381.031,373.479,388.991,379.276,368.195,372.583,369.338,366.832,381.296,368.064,375.140,367.720
157,379.354,374.120,409.764,381.359,372.840,388.876,378.691,369.211,372.460,368.570,367.455,380.613,367.514,373.680,369.014
158,379.809,374.309,409.198,381.276,372.137,389.063,378.025,369.653,372.589,368.003,367.386,379.563,367.632,372.985,370.072
159,380.451,374.932,408.581,380.913,371.658,389.168,377.700,369.160,372.758,368.078,366.926,378.511,368.405,373.244,370.673
160,380.664,375.351,407.951,380.646,371.575,389.022,377.947,368.083,372.794,368.370,366.625,377.528,369.437,373.749,370.825
161,380.209,374.874,407.390,380.574,371.616,388.638,378.770,367.035,372.353,368.265,366.619,376.637,370.116,373.591,370.360
162,379.556,373.471,406.920,380.647,371.849,388.150,379.852,366.253,371.666,367.770,366.722,376.236,370.089,372.566,369.413
163,378.957,372.220,406.574,380.655,372.457,387.573,380.239,365.933,371.224,367.219,366.443,376.620,369.612,371.500,368.366
164,378.473,372.073,406.332,380.350,373.146,386.966,379.556,366.171,371.387,366.678,365.736,377.486,369.262,371.259,367.554
165,378.347,372.639,406.046,379.934,373.338,386.329,378.222,367.080,371.926,366.365,364.935,378.120,369.528,371.916,367.208
166,378.477,372.597,405.578,379.660,372.863,385.863,377.239,368.480,372.454,366.759,364.651,378.292,370.301,372.975,367.382
167,378.791,371.770,404.894,379.606,372.288,385.557,376.893,369.973,372.794,367.573,364.852,378.144,371.012,373.726,367.640
168,379.116,371.010,404.067,379.446,372.155,385.341,376.984,371.357,373.086,368.135,365.023,377.905,371.183,373.820,367.706
169,379.282,370.817,403.255,379.249,372.301,384.977,377.070,372.328,373.258,367.943,364.915,377.504,370.842,373.556,367.828
170,379.581,371.293,402.681,379.203,372.041,384.570,377.272,372.613,373.460,367.316,364.705,376.827,370.484,373.500,368.255
171,380.188,371.874,402.376,379.287,371.306,384.310,377.449,372.416,373.660,366.919,364.517,376.049,370.504,373.888,369.086
172,380.830,372.168,402.161,379.229,370.973,384.113,377.588,372.211,373.423,366.965,364.168,375.789,370.881,374.211,370.053
173,380.986,371.843,401.867,379.038,371.311,383.839,377.395,372.352,372.586,367.086,363.656,376.190,371.237,374.272,370.634
174,380.523,370.937,401.514,378.934,371.489,383.482,376.914,372.685,371.712,367.186,363.452,376.806,371.188,374.340,370.440
175,379.661,370.115,401.197,379.021,371.132,383.070,376.103,372.848,371.049,367.349,363.858,377.063,370.662,374.825,369.255
176,378.928,370.147,400.849,379.002,370.667,382.754,375.062,372.752,370.466,367.359,364.540,376.937,369.926,375.381,367.601
177,378.773,371.152,400.406,378.644,370.589,382.531,374.383,372.488,370.086,367.078,364.926,376.493,369.368,375.596,366.247
178,379.199,372.377,399.907,378.275,370.744,382.339,374.395,372.091,370.230,366.727,364.980,376.222,369.259,375.190,365.612
179,379.794,373.073,399.412,378.061,370.854,382.169,374.926,371.629,370.660,366.430,365.048,376.475,369.709,374.500,365.812
180,380.079,372.901,398.916,377.879,370.763,382.055,374.905,371.536,370.902,366.322,365.338,376.944,370.684,373.959,366.878
181,379.917,372.251,398.428,377.730,370.799,381.891,374.276,371.883,370.837,366.595,365.636,377.180,371.620,373.558,368.346
182,379.393,372.005,398.073,377.643,371.137,381.579,374.029,372.475,370.706,367.095,365.866,376.979,371.723,373.404,369.283
183,378.780,372.649,397.910,377.504,371.521,381.160,374.840,372.973,370.929,367.186,365.886,376.623,370.849,373.439,369.590
184,378.184,373.812,397.893,377.177,371.977,380.758,376.235,373.325,371.294,366.635,365.682,376.458,369.726,373.536,369.587
185,377.693,374.848,397.858,376.730,372.306,380.492,377.321,373.315,371.353,366.089,365.236,376.750,369.114,373.505,369.216
186,377.412,375.079,397.673,376.298,372.475,380.561,377.675,372.776,370.730,365.916,364.665,377.391,369.247,373.442,368.615
187,377.599,374.571,397.402,375.991,372.498,380.935,377.477,371.608,370.095,365.814,364.398,377.827,369.543,373.746,368.152
188,378.213,373.880,397.096,375.965,372.744,381.164,377.074,370.173,370.120,365.259,364.688,377.940,369.363,374.442,368.205
189,378.906,373.801,396.639,376.460,372.991,381.106,377.037,369.280,371.012,364.486,365.349,377.908,368.509,375.302,368.443
190,379.282,374.110,395.990,378.024,372.580,380.980,377.584,369.632,371.844,364.051,365.753,377.641,367.627,375.820,368.141
191,379.357,374.063,395.288,380.779,371.598,380.900,378.119,370.888,371.684,363.919,365.267,377.180,367.284,375.888,367.349
192,379.339,373.461,394.744,384.021,370.548,380.826,378.189,371.856,370.580,363.516,364.355,376.370,367.526,375.576,366.875
193,379.184,372.764,394.384,386.684,370.068,380.714,377.959,371.488,368.951,362.822,363.616,375.335,368.054,375.188,367.144
194,378.841,372.466,394.223,388.229,369.881,380.584,378.272,370.093,367.472,362.495,363.054,374.500,368.610,374.901,367.765
195,378.339,372.330,394.182,388.734,369.776,380.297,379.259,369.043,366.926,362.786,362.432,374.398,368.948,374.797,368.454
196,377.783,372.309,394.171,388.660,369.740,380.084,380.099,368.811,367.374,363.473,362.136,374.908,368.798,374.569,369.191
197,377.848,372.372,394.059,388.398,369.840,380.063,380.016,369.053,368.294,364.351,362.537,375.511,368.319,373.919,369.906
198,378.422,372.644,393.943,388.389,370.009,380.237,378.819,369.635,368.972,365.062,363.415,376.099,367.802,373.173,370.338
199,378.881,372.969,393.898,388.467,369.781,380.384,377.214,370.491,369.202,365.692,364.233,376.736,367.543,372.980,370.244
200,378.877,372.822,393.774,388.553,369.297,380.339,376.053,371.336,369.009,366.246,364.835,377.327,367.425,372.949,369.801
201,378.610,372.288,393.507,388.661,368.995,380.049,375.564,371.573,368.770,366.700,365.088,377.458,367.217,372.546,369.111
202,378.621,371.581,393.105,388.728,369.132,379.521,375.667,371.304,368.656,366.992,364.767,376.817,367.030,371.523,368.357
203,379.069,371.058,392.712,388.621,369.320,378.854,376.099,371.048,368.525,367.065,363.849,375.901,366.765,370.637,367.792
204,379.264,370.984,392.522,388.287,369.091,378.357,376.646,370.789,368.402,367.024,362.966,375.377,366.311,370.533,367.731
205,379.022,371.304,392.583,387.866,368.676,378.344,377.239,370.224,368.733,366.681,363.091,375.577,365.877,371.003,367.690
206,379.007,371.696,392.734,387.371,368.484,378.762,377.440,369.243,369.561,366.108,363.875,376.218,365.674,371.586,367.285
207,379.202,372.073,392.674,386.762,368.516,379.136,377.177,368.131,370.273,365.778,364.361,376.789,365.798,371.817,366.922
208,378.921,372.346,392.266,385.959,368.516,379.211,377.016,367.376,370.396,365.954,364.315,377.229,366.084,371.706,366.994
209,378.000,372.262,391.676,385.163,368.548,379.027,377.370,366.784,370.172,365.838,364.562,377.342,366.551,371.556,367.022
210,376.957,371.565,391.205,384.450,368.890,378.816,377.786,366.547,370.049,365.227,365.224,376.933,367.047,371.482,366.532
211,376.516,371.052,390.945,384.131,369.365,378.711,377.988,367.123,370.064,364.505,365.741,375.877,367.444,371.561,365.909
212,377.018,370.634,390.917,384.104,369.621,378.743,377.992,368.347,370.018,364.062,365.875,374.535,367.583,371.718,365.524
213,377.758,370.283,391.050,384.121,369.685,379.000,378.082,369.549,369.724,363.732,366.006,373.588,367.516,371.995,365.479
214,378.130,369.974,391.237,383.930,369.932,379.470,377.930,370.368,369.279,363.522,366.509,373.081,367.331,372.340,365.867
215,377.910,370.241,391.282,383.556,370.429,379.878,377.770,370.555,368.623,363.795,367.213,372.620,367.030,372.668,366.360
216,377.310,370.492,391.221,383.064,370.804,380.003,377.494,370.299,367.929,364.584,367.798,372.602,366.802,372.769,366.651
217,376.682,370.398,391.209,382.482,370.890,380.036,377.062,369.659,367.580,365.176,368.088,373.447,366.763,372.612,366.978
218,376.289,370.010,391.239,381.855,370.502,380.174,376.453,368.933,367.847,365.127,368.142,374.504,366.909,372.365,367.873
